Time,Temperature,Crime
949,77,1269
950,84.919998,1380
951,73.940002,1337
952,75.019997,1360
953,80.959999,1452
954,86,1428
955,87.980003,1475
956,91.940002,1465
957,84.019997,1324
958,84.019997,1377
959,82.940002,1409
960,89.059998,1448
961,95,1665
962,80.059998,1381
963,80.059998,1365
964,86,1352
965,95,1449
966,91.940002,1364
967,80.959999,1392
968,91.940002,1319
969,82.940002,1573
970,73.940002,1380
971,69.980003,1174
972,64.940002,1249
973,73.940002,1377
974,82.940002,1316
975,71.959999,1326
976,75.019997,1351
977,80.959999,1571
978,86,1407
979,84.019997,1298
980,82.040001,1427
981,82.940002,1392
982,84.019997,1437
983,82.940002,1493
984,82.040001,1442
985,75.019997,1326
986,73.940002,1427
987,82.040001,1371
988,82.040001,1300
989,80.959999,1364
990,66.919998,1423
991,71.059998,1316
992,75.919998,1353
993,69.080002,1260
994,69.980003,1596
995,71.059998,1382
996,60.98,1302
997,64.940002,1230
998,60.98,1165
999,57.919998,1255
1000,57.919998,1219
1001,55.939999,1193
1002,53.060001,1454
1003,53.060001,1349
1004,53.060001,1320
1005,57.919998,1417
1006,57.02,1198
1007,60.98,1383
1008,80.059998,1349
1009,80.059998,1506
1010,73.040001,1482
1011,77,1414
1012,78.080002,1370
1013,69.080002,1243
1014,73.040001,1300
1015,57.919998,1247
1016,62.060001,1306
1017,53.060001,1676
1018,57.02,1723
1019,69.980003,1304
1020,64.040001,1218
1021,84.919998,1423
1022,64.040001,1363
1023,55.040001,1345
1024,53.060001,1341
1025,60.080002,1435
1026,57.919998,1341
1027,44.959999,1238
1028,44.060001,1285
1029,55.040001,1314
1030,48.02,1329
1031,69.980003,1317
1032,66.919998,1487
1033,48.919998,1575
1034,55.040001,1119
1035,51.080002,1324
1036,69.980003,1351
1037,46.939999,1325
1038,44.959999,1288
1039,44.060001,1236
1040,33.080002,1188
1041,41,1049
1042,51.080002,1265
1043,55.939999,1342
1044,60.98,1252
1045,39.919998,1166
1046,48.919998,1340
1047,42.080002,1255
1048,46.939999,1067
1049,53.959999,1198
1050,60.98,1184
1051,55.939999,1329
1052,64.940002,1455
1053,50,1396
1054,60.98,1323
1055,64.940002,1121
1056,30.02,1165
1057,39.919998,1148
1058,48.02,1262
1059,44.959999,989
1060,37.040001,1091
1061,37.939999,1148
1062,53.959999,1367
1063,41,1320
1064,35.959999,1185
1065,39.02,1278
1066,39.02,1100
1067,42.98,1349
1068,37.040001,1222
1069,41,1168
1070,44.959999,1169
1071,48.919998,1194
1072,53.060001,1206
1073,28.940001,1068
1074,24.08,1134
1075,30.02,1108
1076,30.92,1058
1077,37.040001,1213
1078,42.98,1131
1079,26.059999,1068
